001	002	001
002	003	002
003	004	003
004	005	002
005	006	002
006	007	004
007	008	002
008	009	002
009	010	004
010	011	004
011	011	005
012	011	006
013	012	011
014	013	009
015	009	BUSA 346
016	016	003
017	017	003
018	018	003
019	019	003
020	020	003
021	028	027
022	034	033
023	037	031
024	039	038
025	041	032
026	042	032
027	042	COMM 310
028	044	035
029	045	035
030	046	035
031	047	036
032	048	047
033	058	035
034	059	048
035	060	031
036	092	CHEM 206
037	093	092
038	094	132
039	094	130
040	094	CHEM 205
041	095	092
042	097	091
043	098	092
044	099	093
045	099	134
046	100	093
047	100	PHYS 206
048	101	093
049	102	097
050	106	096
051	107	106
052	111	110
053	116	115
054	116	CHEM 103
055	116	110
056	116	EVNS 111
057	116	ENVS 130
058	117	116
059	118	116
060	120	119
061	128	116
062	128	CHEM 103
063	129	ENVS 130
064	129	ENVS 150
065	129	BIOL 140
066	130	116
067	131	110
068	131	111
069	112	128
070	133	128
071	134	128
072	134	130
073	134	CHEM 205
074	137	135
075	137	136
076	139	130
077	140	BIOL 140
078	140	130
079	141	128
080	141	130
081	142	117
082	142	BIOL 140
083	143	133
084	145	132
085	150	148
086	149	148
087	154	130
088	155	111
089	155	133
090	156	130
091	157	130
092	164	HONR 353
093	165	194
